pupal_treatment,emergence_date,sex,adultID,weight,mateID,treatment_combination,clutchID,notes,age,age_at_photo,uploaded,dead,green_eggs,orange_eggs,clutch_size,eggs_photographed,clutch_code,cg,,,
warm,11/21/2025,F,CTRL.WTH.170_P4_W,0.0262,CTRL.WTH.117_P3_W,,A.W.51,,DONE,6,yes,,0,245,245,DONE,1040,Y,,,
warm,11/23/2025,M,CTRL.WTH.44_P5_W,,CTRL.WTH.42_P7_W,,A.W.6,,DONE,9,yes,,,,,,,,,,
warm,11/23/2025,M,F2.MEAN.MEAN_P1_W,,MEAN.WTH.43_P7,,M.W.50,,DONE,9,yes,,,,,,,,,,
warm,11/23/2025,F,CTRL.WTH_P8_W,0.0273,F1.HOT.CTRL_P8_W,,A.W.52,,DONE,9,yes,,3,87,90,DONE,9507,Y,,,
warm,11/23/2025,F,F1_CTRL.HOT_P1_W,0.0254,HOT.WTH.123_P4,,A.H.W.53,,DONE,9,yes,,4,83,87,,,Y,,,
warm,11/23/2025,M,F1.CTRL.WARM_P3_W,,CTRL.WTH.88_P1_W,,A.W.76,,DONE,9,yes,,,,,,,,,,
cool,11/23/2025,F,F3.CTRL.CTRL_P1_C,0.0274,F2.MEAN.CTRL_P2_C,,A.A.C.54,,DONE,9,yes,,18,210,228,,,Y,,,
cool,11/23/2025,F,CTRL.WTH.16_P3_C,0.0341,F5.COOL.CTRL_P2_C,,A.C.55,,DONE,9,yes,,,,,,5705,,,,
cool,11/23/2025,F,CTRL.WTH.49_P2_C,0.0323,CTRL.WTH.89_P1_C,,A.C.56,,DONE,9,yes,,28,249,277,DONE,3906,Y,,,
cool,11/23/2025,M,HOT.WTH.98_P4_C,,HOT.WTH.151_P1_C,,H.C.116,,DONE,9,yes,,,,,,,,,,
cool,11/23/2025,M,HOT.WTH.123_P3_C,,HOT.WTH.153_P1_C,,H.C.118,,DONE,9,yes,,,,,,,,,,
cool,11/23/2025,M,HOT.WTH.86_P2_C,,HOT.WTH.158_P3_C,,H.C.88,,DONE,16,,,,,,,,,,,
cool,11/23/2025,M,CTRL.WTH.92_P3_C,,CTRL.WTH.42_P6_C,,A.C.117,,DONE,9,yes,,,,,,,,,,
cool,11/23/2025,M,WARM.WTH.88_P1_C,,WARM.WTH.37_P4_C,,W.C.80,,DONE,9,yes,,,,,, ,,,,
cool,11/23/2025,M,CTRL.WTH.110_P1_C,,CTRL.WTH.1_P1_C,,A.C.121,,DONE,9,yes,,,,,,,,,,
ambient,11/23/2025,F,F4.COOL.CTRL_P3_A,0.041,CTRL.WTH.111_P2_A,,C.A.A.60,libby_remating,62,,,,1,360,361,,,Y,,,
ambient,11/23/2025,F,CTRL.WTH.60_P5_A,0.0248,CTRL.WTH.50_P4_A,,A.A.57,,DONE,9,yes,,5,111,116,DONE,8390,Y,,,
ambient,11/23/2025,F,WARM.WTH.152_P2_A,0.0172,WARM.WTH.43_P5_A,,W.A.58,,DONE,9,yes,,6,96,102,DONE,7671,Y,,,
ambient,11/23/2025,F,HOT.WTH.16_P1_A,0.0295,HOT.WTH.29_P5_A,,H.A.59,,DONE,9,yes,,0,53,53,DONE,8283,Y,,,
ambient,11/23/2025,M,HOT.WTH.29_P5_A,,HOT.WTH.16_P1_A,,H.A.59,,DONE,9,yes,,,,,,,,,,
